#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS: 200  40
# Band-Index    1
   1.67503    -19.369350  0.638  0.004  0.000  0.644
   1.69216    -19.349308  0.638  0.006  0.000  0.644
   1.70930    -19.327669  0.638  0.006  0.000  0.644
   1.72644    -19.304429  0.636  0.008  0.000  0.644
   1.74358    -19.279589  0.636  0.008  0.000  0.644
   1.76072    -19.253168  0.634  0.010  0.000  0.644
   1.77785    -19.225144  0.634  0.012  0.000  0.646
   1.79499    -19.195524  0.634  0.012  0.000  0.646
   1.81213    -19.164318  0.632  0.014  0.000  0.646
   1.82927    -19.131528  0.632  0.014  0.000  0.646
   1.84641    -19.097156  0.630  0.016  0.000  0.646
   1.86355    -19.061190  0.628  0.018  0.000  0.646
   1.88068    -19.023652  0.628  0.020  0.000  0.648
   1.89782    -18.984528  0.626  0.022  0.000  0.648
   1.91496    -18.943821  0.626  0.022  0.000  0.648
   1.93210    -18.901544  0.624  0.024  0.000  0.648
   1.94924    -18.857701  0.622  0.026  0.000  0.648
   1.96637    -18.812275  0.622  0.028  0.000  0.650
   1.98351    -18.765279  0.620  0.030  0.000  0.650
   2.00065    -18.716724  0.618  0.032  0.000  0.650
   2.01779    -18.666609  0.616  0.034  0.000  0.652
   2.03493    -18.614961  0.614  0.036  0.000  0.652
   2.05207    -18.561776  0.614  0.038  0.000  0.652
   2.06920    -18.506996  0.612  0.042  0.000  0.652
   2.08634    -18.450688  0.610  0.044  0.000  0.654
   2.10348    -18.392824  0.608  0.046  0.000  0.654
   2.12062    -18.333421  0.606  0.048  0.000  0.654
   2.13776    -18.272485  0.604  0.050  0.000  0.656
   2.15489    -18.210021  0.602  0.054  0.000  0.656
   2.17203    -18.146045  0.600  0.056  0.000  0.656
   2.18917    -18.080539  0.598  0.058  0.000  0.658
   2.20631    -18.013525  0.596  0.062  0.000  0.658
   2.22345    -17.945001  0.594  0.064  0.000  0.658
   2.24059    -17.874974  0.592  0.068  0.000  0.660
   2.25772    -17.803453  0.590  0.070  0.000  0.660
   2.27486    -17.730444  0.588  0.072  0.000  0.662
   2.29200    -17.655954  0.586  0.076  0.000  0.662
   2.30914    -17.579990  0.584  0.080  0.000  0.662
   2.32628    -17.502562  0.582  0.082  0.000  0.664
   2.34341    -17.423689  0.580  0.086  0.000  0.664
   2.36055    -17.343356  0.576  0.088  0.000  0.666
   2.37769    -17.261582  0.574  0.092  0.000  0.666
   2.39483    -17.178386  0.572  0.096  0.000  0.668
   2.41197    -17.093766  0.570  0.098  0.000  0.668
   2.42911    -17.007738  0.568  0.102  0.000  0.670
   2.44624    -16.920330  0.564  0.106  0.000  0.670
   2.46338    -16.831522  0.562  0.108  0.000  0.670
   2.48052    -16.741349  0.560  0.112  0.000  0.672
   2.49766    -16.649813  0.558  0.116  0.000  0.674
   2.51480    -16.556928  0.554  0.120  0.000  0.674
   2.53193    -16.462738  0.552  0.124  0.000  0.676
   2.54907    -16.367234  0.550  0.126  0.000  0.676
   2.56621    -16.270447  0.546  0.130  0.000  0.678
   2.58335    -16.172374  0.544  0.134  0.000  0.678
   2.60049    -16.073053  0.542  0.138  0.000  0.680
   2.61763    -15.972505  0.540  0.142  0.000  0.682
   2.63476    -15.870755  0.536  0.146  0.000  0.682
   2.65190    -15.767831  0.534  0.150  0.000  0.684
   2.66904    -15.663785  0.532  0.154  0.000  0.684
   2.68618    -15.558600  0.530  0.158  0.000  0.686
   2.70332    -15.452335  0.526  0.160  0.000  0.688
   2.72045    -15.345028  0.524  0.164  0.000  0.690
   2.73759    -15.236721  0.522  0.168  0.000  0.690
   2.75473    -15.127472  0.520  0.172  0.000  0.692
   2.77187    -15.017312  0.518  0.176  0.000  0.694
   2.78901    -14.906302  0.516  0.180  0.000  0.696
   2.80615    -14.794509  0.514  0.184  0.000  0.696
   2.82328    -14.682021  0.512  0.188  0.000  0.698
   2.84042    -14.568888  0.510  0.190  0.000  0.700
   2.85756    -14.455231  0.508  0.194  0.000  0.702
   2.87470    -14.341107  0.506  0.198  0.000  0.704
   2.89184    -14.226671  0.504  0.200  0.000  0.706
   2.90897    -14.112040  0.504  0.204  0.000  0.708
   2.92611    -13.997383  0.502  0.208  0.000  0.710
   2.94325    -13.882875  0.502  0.210  0.000  0.712
   2.96039    -13.768722  0.500  0.214  0.000  0.714
   2.97753    -13.655169  0.500  0.216  0.000  0.716
   2.99467    -13.542505  0.500  0.218  0.000  0.718
   3.01180    -13.431073  0.500  0.220  0.000  0.720
   3.02894    -13.321291  0.500  0.222  0.000  0.724
   3.04608    -13.213602  0.502  0.224  0.000  0.726
   3.06322    -13.108584  0.502  0.226  0.000  0.728
   3.08036    -13.006891  0.502  0.228  0.000  0.730
   3.09749    -12.909286  0.502  0.230  0.000  0.734
   3.11463    -12.816635  0.502  0.232  0.000  0.736
   3.13177    -12.729901  0.502  0.234  0.000  0.738
   3.14891    -12.650118  0.500  0.238  0.000  0.738
   3.16605    -12.578311  0.498  0.242  0.000  0.740
 
# Band-Index    2
   3.16605    -12.578271  0.498  0.242  0.000  0.740
   3.14891    -12.510123  0.494  0.246  0.000  0.740
   3.13177    -12.440653  0.490  0.250  0.000  0.740
   3.11463    -12.369866  0.486  0.256  0.000  0.742
   3.09749    -12.297765  0.482  0.260  0.000  0.742
   3.08036    -12.224353  0.478  0.264  0.000  0.742
   3.06322    -12.149634  0.474  0.270  0.000  0.742
   3.04608    -12.073613  0.468  0.274  0.000  0.744
   3.02894    -11.996295  0.464  0.280  0.000  0.744
   3.01180    -11.917683  0.460  0.284  0.000  0.744
   2.99467    -11.837782  0.456  0.290  0.000  0.746
   2.97753    -11.756601  0.452  0.294  0.000  0.746
   2.96039    -11.674144  0.446  0.300  0.000  0.746
   2.94325    -11.590403  0.442  0.306  0.000  0.746
   2.92611    -11.505417  0.438  0.310  0.000  0.748
   2.90897    -11.419152  0.432  0.316  0.000  0.748
   2.89184    -11.331635  0.428  0.322  0.000  0.748
   2.87470    -11.242869  0.422  0.326  0.000  0.750
   2.85756    -11.152877  0.418  0.332  0.000  0.750
   2.84042    -11.061639  0.412  0.338  0.000  0.750
   2.82328    -10.969177  0.408  0.344  0.000  0.752
   2.80615    -10.875501  0.402  0.350  0.000  0.752
   2.78901    -10.780619  0.398  0.354  0.000  0.752
   2.77187    -10.684540  0.392  0.360  0.000  0.754
   2.75473    -10.587276  0.388  0.366  0.000  0.754
   2.73759    -10.488833  0.382  0.372  0.000  0.754
   2.72045    -10.389224  0.376  0.378  0.000  0.756
   2.70332    -10.288462  0.372  0.384  0.000  0.756
   2.68618    -10.186557  0.366  0.390  0.000  0.756
   2.66904    -10.083522  0.360  0.396  0.000  0.756
   2.65190     -9.979370  0.356  0.402  0.000  0.758
   2.63476     -9.874117  0.350  0.408  0.000  0.758
   2.61763     -9.767785  0.344  0.414  0.000  0.758
   2.60049     -9.660387  0.338  0.422  0.000  0.760
   2.58335     -9.551920  0.332  0.428  0.000  0.760
   2.56621     -9.442417  0.328  0.434  0.000  0.760
   2.54907     -9.331908  0.322  0.440  0.000  0.762
   2.53193     -9.220388  0.316  0.446  0.000  0.762
   2.51480     -9.107890  0.310  0.452  0.000  0.762
   2.49766     -8.994442  0.304  0.460  0.000  0.764
   2.48052     -8.880066  0.298  0.466  0.000  0.764
   2.46338     -8.764767  0.292  0.472  0.000  0.766
   2.44624     -8.648590  0.286  0.478  0.000  0.766
   2.42911     -8.531559  0.280  0.486  0.000  0.766
   2.41197     -8.413701  0.276  0.492  0.000  0.768
   2.39483     -8.295049  0.270  0.498  0.000  0.768
   2.37769     -8.175629  0.264  0.506  0.000  0.768
   2.36055     -8.055496  0.258  0.512  0.000  0.770
   2.34341     -7.934665  0.252  0.520  0.000  0.770
   2.32628     -7.813172  0.246  0.526  0.000  0.772
   2.30914     -7.691072  0.240  0.532  0.000  0.772
   2.29200     -7.568397  0.232  0.540  0.000  0.772
   2.27486     -7.445197  0.226  0.546  0.000  0.774
   2.25772     -7.321523  0.220  0.554  0.000  0.774
   2.24059     -7.197428  0.214  0.560  0.000  0.776
   2.22345     -7.072963  0.208  0.568  0.000  0.776
   2.20631     -6.948183  0.202  0.574  0.000  0.776
   2.18917     -6.823155  0.196  0.582  0.000  0.778
   2.17203     -6.697945  0.190  0.588  0.000  0.778
   2.15489     -6.572620  0.184  0.596  0.000  0.780
   2.13776     -6.447257  0.178  0.602  0.000  0.780
   2.12062     -6.321933  0.172  0.610  0.000  0.782
   2.10348     -6.299779  0.000  0.440  0.000  0.440
   2.08634     -6.367608  0.000  0.440  0.000  0.440
   2.06920     -6.433702  0.000  0.440  0.000  0.440
