#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS: 200  40
# Band-Index    1
   0.53432     15.675868  0.000  0.640  0.000  0.640
   0.51947     15.799075  0.108  0.326  0.000  0.436
   0.50463     15.784172  0.094  0.312  0.000  0.408
   0.48979     15.756304  0.080  0.298  0.000  0.378
   0.47495     15.715042  0.068  0.280  0.000  0.348
   0.46010     15.660253  0.056  0.262  0.000  0.318
   0.44526     15.592129  0.046  0.242  0.000  0.290
   0.43042     15.511179  0.036  0.224  0.000  0.262
   0.41558     15.418091  0.030  0.206  0.000  0.236
   0.40074     15.314041  0.022  0.188  0.000  0.210
   0.38589     15.200215  0.018  0.172  0.000  0.190
   0.37105     15.077559  0.012  0.156  0.000  0.170
   0.35621     14.947620  0.010  0.142  0.000  0.152
   0.34137     14.811865  0.006  0.130  0.000  0.136
   0.32653     14.673001  0.004  0.116  0.000  0.120
   0.31168     14.547909  0.004  0.084  0.000  0.088
   0.29684     14.580946  0.010  0.026  0.000  0.034
   0.28200     14.695117  0.010  0.024  0.000  0.034
   0.26716     14.816492  0.008  0.026  0.000  0.034
   0.25232     14.940320  0.008  0.028  0.000  0.036
   0.23747     14.865885  0.000  0.062  0.000  0.062
   0.22263     14.734814  0.000  0.056  0.000  0.056
   0.20779     14.616895  0.000  0.048  0.000  0.048
   0.19295     14.523797  0.000  0.042  0.000  0.042
   0.17811     14.472602  0.000  0.040  0.000  0.040
   0.16326     14.474182  0.000  0.044  0.000  0.044
   0.14842     14.519690  0.000  0.052  0.000  0.052
   0.13358     14.591448  0.000  0.060  0.000  0.060
   0.11874     14.577389  0.000  0.026  0.000  0.026
   0.10389     14.409185  0.000  0.024  0.000  0.024
   0.08905     14.242027  0.000  0.024  0.000  0.024
   0.07421     14.075985  0.000  0.022  0.000  0.022
   0.05937     13.911136  0.000  0.020  0.000  0.022
   0.04453     13.747570  0.002  0.020  0.000  0.020
   0.02968     13.585429  0.002  0.018  0.000  0.020
   0.01484     13.425270  0.002  0.018  0.000  0.020
   0.00000     13.288900  0.002  0.018  0.000  0.018
 
# Band-Index   13
   0.00000     15.208557  0.000  0.098  0.000  0.098
   0.01484     15.195525  0.000  0.098  0.000  0.098
   0.02968     15.158195  0.000  0.096  0.000  0.096
   0.04453     15.100944  0.000  0.092  0.000  0.092
   0.05937     15.028841  0.000  0.086  0.000  0.086
   0.07421     14.946584  0.000  0.082  0.000  0.082
   0.08905     14.858099  0.000  0.078  0.000  0.078
   0.10389     14.766817  0.000  0.072  0.000  0.072
   0.11874     14.676374  0.000  0.066  0.000  0.066
   0.13358     14.746523  0.000  0.028  0.000  0.028
   0.14842     14.916421  0.000  0.028  0.000  0.028
   0.16326     15.086830  0.000  0.030  0.000  0.030
   0.17811     15.256681  0.000  0.034  0.000  0.034
   0.19295     15.405220  0.002  0.038  0.000  0.040
   0.20779     15.318040  0.006  0.034  0.000  0.040
   0.22263     15.192027  0.008  0.030  0.000  0.038
   0.23747     15.065686  0.008  0.028  0.000  0.036
   0.25232     15.003673  0.000  0.066  0.000  0.066
   0.26716     15.144662  0.000  0.072  0.000  0.072
   0.28200     15.286718  0.000  0.076  0.000  0.076
   0.29684     15.428380  0.000  0.080  0.000  0.080
   0.31168     15.568499  0.000  0.086  0.000  0.086
   0.32653     15.706059  0.000  0.090  0.000  0.090
   0.34137     15.840064  0.000  0.094  0.000  0.094
   0.35621     15.969394  0.000  0.098  0.000  0.098
   0.37105     16.093079  0.000  0.102  0.000  0.102
   0.38589     16.209812  0.000  0.106  0.000  0.106
   0.40074     16.318204  0.000  0.110  0.000  0.110
   0.41558     16.416947  0.000  0.114  0.000  0.114
   0.43042     16.504643  0.000  0.116  0.000  0.116
   0.44526     16.579912  0.000  0.120  0.000  0.120
   0.46010     16.526234  0.000  0.660  0.000  0.660
   0.47495     16.358045  0.000  0.656  0.000  0.656
   0.48979     16.188766  0.000  0.652  0.000  0.652
   0.50463     16.018568  0.000  0.648  0.000  0.648
   0.51947     15.847426  0.000  0.644  0.000  0.644
   0.53432     15.801688  0.122  0.338  0.000  0.462
   0.54916     15.792655  0.138  0.348  0.000  0.486
   0.56400     15.773330  0.152  0.356  0.000  0.508
   0.57884     15.744636  0.166  0.362  0.000  0.530
   0.59368     15.707197  0.182  0.366  0.000  0.548
   0.60853     15.662138  0.196  0.370  0.000  0.564
   0.62337     15.610649  0.210  0.370  0.000  0.580
   0.63821     15.553078  0.224  0.370  0.000  0.594
   0.65305     15.490670  0.236  0.368  0.000  0.606
   0.66789     15.423910  0.250  0.366  0.000  0.616
   0.68274     15.353368  0.264  0.362  0.000  0.626
   0.69758     15.279139  0.276  0.358  0.000  0.634
   0.71242     15.202650  0.290  0.354  0.000  0.642
   0.72726     15.123796  0.302  0.348  0.000  0.650
   0.74210     15.043056  0.314  0.342  0.000  0.656
   0.75695     14.960960  0.326  0.336  0.000  0.662
   0.77179     14.877353  0.340  0.328  0.000  0.668
   0.78663     14.792596  0.352  0.320  0.000  0.672
   0.80147     14.707347  0.364  0.312  0.000  0.676
   0.81632     14.621667  0.376  0.304  0.000  0.680
   0.83116     14.535824  0.388  0.296  0.000  0.684
   0.84600     14.449937  0.400  0.288  0.000  0.688
   0.86084     14.364284  0.412  0.278  0.000  0.692
   0.87568     14.278886  0.424  0.270  0.000  0.694
   0.89053     14.194193  0.436  0.260  0.000  0.696
   0.90537     14.110123  0.448  0.250  0.000  0.700
   0.92021     14.027090  0.460  0.242  0.000  0.702
   0.93505     13.945140  0.472  0.232  0.000  0.704
   0.94989     13.864410  0.484  0.222  0.000  0.706
   0.96474     13.785040  0.496  0.212  0.000  0.708
   0.97958     13.707196  0.508  0.202  0.000  0.710
   0.99442     13.630953  0.520  0.192  0.000  0.710
   1.00926     13.556454  0.532  0.182  0.000  0.712
   1.02410     13.483824  0.542  0.170  0.000  0.714
   1.03895     13.413099  0.554  0.160  0.000  0.714
   1.05379     13.344642  0.564  0.150  0.000  0.716
   1.06863     13.278257  0.576  0.142  0.000  0.716
   1.08347     13.214110  0.586  0.132  0.000  0.718
   1.09832     13.152320  0.596  0.122  0.000  0.718
   1.11316     13.092899  0.606  0.112  0.000  0.718
   1.12800     13.036016  0.616  0.104  0.000  0.720
   1.14284     12.981651  0.626  0.094  0.000  0.720
   1.15768     12.929859  0.634  0.086  0.000  0.720
   1.17253     12.880673  0.642  0.078  0.000  0.720
   1.18737     12.834103  0.650  0.070  0.000  0.720
   1.20221     12.790168  0.658  0.062  0.000  0.722
   1.21705     12.748848  0.666  0.056  0.000  0.722
   1.23189     12.710187  0.672  0.050  0.000  0.722
   1.24674     12.674147  0.678  0.042  0.000  0.722
   1.26158     12.640693  0.684  0.038  0.000  0.722
   1.27642     12.609807  0.690  0.032  0.000  0.722
   1.29126     12.581443  0.694  0.026  0.000  0.722
   1.30610     12.555571  0.698  0.022  0.000  0.722
   1.32095     12.532158  0.702  0.018  0.000  0.722
   1.33579     12.511136  0.706  0.014  0.000  0.722
   1.35063     12.492474  0.710  0.012  0.000  0.722
   1.36547     12.476128  0.712  0.008  0.000  0.720
   1.38031     12.462056  0.714  0.006  0.000  0.720
   1.39516     12.450222  0.716  0.004  0.000  0.720
   1.41000     12.440589  0.718  0.002  0.000  0.720
   1.42484     12.433128  0.720  0.002  0.000  0.720
   1.43968     12.427817  0.720  0.000  0.000  0.720
   1.45453     12.424641  0.720  0.000  0.000  0.720
   1.46937     12.423584  0.720  0.000  0.000  0.720
   1.46937     12.423584  0.720  0.000  0.000  0.720
   1.48651     12.424992  0.720  0.000  0.000  0.720
   1.50364     12.429232  0.720  0.000  0.000  0.720
   1.52078     12.436323  0.718  0.002  0.000  0.720
   1.53792     12.446294  0.716  0.004  0.000  0.720
   1.55506     12.459192  0.714  0.006  0.000  0.720
   1.57220     12.475073  0.712  0.008  0.000  0.720
   1.58933     12.494009  0.710  0.012  0.000  0.722
   1.60647     12.516082  0.706  0.016  0.000  0.722
   1.62361     12.541391  0.702  0.020  0.000  0.722
   1.64075     12.570034  0.696  0.026  0.000  0.722
   1.65789     12.602159  0.690  0.030  0.000  0.722
   1.67503     12.637891  0.684  0.038  0.000  0.722
   1.69216     12.677364  0.678  0.044  0.000  0.722
   1.70930     12.720758  0.670  0.052  0.000  0.722
   1.72644     12.768245  0.660  0.060  0.000  0.722
   1.74358     12.820038  0.650  0.070  0.000  0.720
   1.76072     12.876242  0.640  0.080  0.000  0.720
   1.77785     12.937080  0.628  0.092  0.000  0.720
   1.79499     13.002742  0.616  0.104  0.000  0.720
   1.81213     13.073402  0.602  0.116  0.000  0.720
   1.82927     13.149247  0.588  0.130  0.000  0.718
   1.84641     13.230385  0.572  0.146  0.000  0.718
   1.86355     13.317005  0.556  0.160  0.000  0.716
   1.88068     13.409175  0.538  0.176  0.000  0.716
   1.89782     13.506923  0.520  0.194  0.000  0.714
   1.91496     13.610576  0.502  0.210  0.000  0.712
   1.93210     13.719876  0.482  0.228  0.000  0.712
   1.94924     13.834806  0.462  0.246  0.000  0.710
   1.96637     13.955405  0.442  0.266  0.000  0.708
   1.98351     14.081583  0.422  0.284  0.000  0.706
   2.00065     14.213097  0.402  0.302  0.000  0.704
   2.01779     14.349818  0.382  0.320  0.000  0.702
   2.03493     14.491516  0.362  0.338  0.000  0.700
   2.05207     14.638028  0.342  0.356  0.000  0.698
   2.06920     14.788965  0.322  0.374  0.000  0.696
   2.08634     14.944107  0.304  0.390  0.000  0.694
   2.10348     15.103148  0.284  0.408  0.000  0.692
   2.12062     15.265769  0.266  0.422  0.000  0.690
   2.13776     15.431637  0.248  0.438  0.000  0.686
   2.15489     15.600406  0.232  0.452  0.000  0.684
   2.17203     15.771886  0.216  0.466  0.000  0.682
   2.18917     15.945369  0.200  0.480  0.000  0.680
   2.20631     16.047951  0.000  0.082  0.000  0.082
   2.22345     16.078855  0.000  0.082  0.000  0.082
   2.24059     16.102953  0.000  0.080  0.000  0.080
   2.25772     16.118990  0.000  0.078  0.000  0.078
   2.27486     16.125722  0.000  0.074  0.000  0.074
   2.29200     16.122014  0.000  0.072  0.000  0.072
   2.30914     16.106983  0.000  0.068  0.000  0.068
   2.32628     16.080094  0.000  0.064  0.000  0.064
   2.34341     16.041333  0.000  0.058  0.000  0.058
   2.36055     15.991160  0.000  0.052  0.000  0.052
   2.37769     15.930565  0.000  0.048  0.000  0.048
   2.39483     15.860867  0.000  0.042  0.000  0.042
   2.41197     15.783744  0.000  0.036  0.000  0.036
   2.42911     15.700922  0.000  0.030  0.000  0.030
   2.44624     15.614182  0.000  0.026  0.000  0.026
   2.46338     15.525320  0.000  0.022  0.000  0.022
   2.48052     15.436051  0.000  0.018  0.000  0.018
   2.49766     15.348062  0.000  0.014  0.000  0.014
   2.51480     15.263016  0.000  0.010  0.000  0.010
   2.53193     15.182555  0.000  0.006  0.000  0.006
   2.54907     15.108375  0.000  0.004  0.000  0.004
   2.56621     15.042182  0.000  0.002  0.000  0.002
   2.58335     14.985713  0.000  0.000  0.000  0.000
   2.60049     14.940677  0.000  0.000  0.000  0.000
   2.61763     14.908684  0.000  0.000  0.000  0.000
   2.63476     14.891123  0.000  0.000  0.000  0.000
   2.65190     14.889024  0.000  0.002  0.000  0.002
   2.66904     14.902931  0.000  0.004  0.000  0.004
   2.68618     14.932836  0.000  0.008  0.000  0.008
   2.70332     15.074533  0.010  0.026  0.000  0.038
   2.72045     15.217716  0.010  0.030  0.000  0.038
   2.73759     15.361425  0.008  0.032  0.000  0.040
   2.75473     15.505325  0.008  0.036  0.000  0.042
   2.77187     15.648987  0.006  0.038  0.000  0.044
   2.78901     15.791825  0.004  0.044  0.000  0.048
   2.80615     15.932951  0.004  0.048  0.000  0.052
   2.82328     16.070947  0.002  0.056  0.000  0.058
   2.84042     16.203281  0.000  0.064  0.000  0.066
   2.85756     16.324615  0.000  0.078  0.000  0.078
   2.87470     16.422398  0.002  0.096  0.000  0.096
   2.89184     16.468979  0.010  0.110  0.000  0.120
   2.90897     16.428090  0.068  0.042  0.000  0.110
   2.92611     16.345115  0.000  0.044  0.000  0.044
   2.94325     16.294216  0.036  0.102  0.000  0.136
   2.96039     16.208046  0.040  0.102  0.000  0.142
   2.97753     16.123574  0.044  0.104  0.000  0.146
   2.99467     16.043063  0.046  0.106  0.000  0.152
   3.01180     15.967816  0.048  0.110  0.000  0.158
   3.02894     15.898860  0.050  0.112  0.000  0.162
   3.04608     15.837026  0.052  0.112  0.000  0.164
   3.06322     15.744818  0.000  0.038  0.000  0.038
   3.08036     15.625400  0.000  0.038  0.000  0.038
   3.09749     15.508087  0.000  0.038  0.000  0.038
   3.11463     15.395682  0.064  0.118  0.000  0.182
   3.13177     15.332552  0.064  0.128  0.000  0.192
   3.14891     15.271772  0.060  0.132  0.000  0.192
   3.16605     15.212987  0.056  0.134  0.000  0.190
 
# Band-Index   14
   3.16605     15.657086  0.000  0.038  0.000  0.038
   3.14891     15.659274  0.006  0.044  0.000  0.048
   3.13177     15.665959  0.018  0.058  0.000  0.076
   3.11463     15.679992  0.030  0.076  0.000  0.108
   3.09749     15.703967  0.042  0.092  0.000  0.134
   3.08036     15.738581  0.048  0.104  0.000  0.152
   3.06322     15.783265  0.052  0.110  0.000  0.162
   3.04608     15.866332  0.000  0.038  0.000  0.038
   3.02894     15.989936  0.000  0.038  0.000  0.038
   3.01180     16.115627  0.000  0.038  0.000  0.038
   2.99467     16.243387  0.000  0.038  0.000  0.038
   2.97753     16.373214  0.000  0.040  0.000  0.040
   2.96039     16.505114  0.000  0.040  0.000  0.040
   2.94325     16.448284  0.000  0.044  0.000  0.044
   2.92611     16.377191  0.030  0.104  0.000  0.134
   2.90897     16.445017  0.022  0.108  0.000  0.130
   2.89184     16.538671  0.066  0.038  0.000  0.104
   2.87470     16.652514  0.064  0.034  0.000  0.098
   2.85756     16.769393  0.062  0.032  0.000  0.094
   2.84042     16.889130  0.060  0.030  0.000  0.090
   2.82328     17.011471  0.056  0.028  0.000  0.086
   2.80615     17.136184  0.054  0.028  0.000  0.082
   2.78901     17.262935  0.052  0.028  0.000  0.080
   2.77187     17.391421  0.050  0.028  0.000  0.078
   2.75473     17.521259  0.046  0.030  0.000  0.078
   2.73759     17.651992  0.044  0.032  0.000  0.076
   2.72045     17.783064  0.042  0.036  0.000  0.078
   2.70332     17.913740  0.038  0.042  0.000  0.080
   2.68618     18.043209  0.034  0.048  0.000  0.084
   2.66904     18.170318  0.032  0.058  0.000  0.090
   2.65190     18.293585  0.028  0.072  0.000  0.098
   2.63476     18.411058  0.024  0.088  0.000  0.110
   2.61763     18.520208  0.018  0.110  0.000  0.128
   2.60049     18.617790  0.014  0.138  0.000  0.152
   2.58335     18.699835  0.010  0.174  0.000  0.182
   2.56621     18.761828  0.004  0.218  0.000  0.222
   2.54907     18.799292  0.002  0.268  0.000  0.268
   2.53193     18.808974  0.000  0.320  0.000  0.322
   2.51480     18.788998  0.000  0.374  0.000  0.374
   2.49766     18.739815  0.004  0.422  0.000  0.426
   2.48052     18.664809  0.008  0.462  0.000  0.472
   2.46338     18.567832  0.016  0.494  0.000  0.510
   2.44624     18.452136  0.024  0.518  0.000  0.542
   2.42911     18.321606  0.032  0.534  0.000  0.566
   2.41197     18.179276  0.042  0.546  0.000  0.588
   2.39483     18.027627  0.052  0.552  0.000  0.604
   2.37769     17.868510  0.062  0.556  0.000  0.618
   2.36055     17.703327  0.072  0.556  0.000  0.630
   2.34341     17.533830  0.082  0.556  0.000  0.638
   2.32628     17.361386  0.094  0.552  0.000  0.646
   2.30914     17.186060  0.106  0.546  0.000  0.652
   2.29200     17.009148  0.118  0.540  0.000  0.658
   2.27486     16.831414  0.130  0.532  0.000  0.662
   2.25772     16.653208  0.144  0.524  0.000  0.666
   2.24059     16.474729  0.156  0.514  0.000  0.670
   2.22345     16.297036  0.170  0.502  0.000  0.674
   2.20631     16.120394  0.186  0.492  0.000  0.676
   2.18917     16.011390  0.000  0.082  0.000  0.082
   2.17203     15.970281  0.000  0.084  0.000  0.084
   2.15489     15.925553  0.000  0.084  0.000  0.084
   2.13776     15.878010  0.000  0.084  0.000  0.084
   2.12062     15.828361  0.000  0.084  0.000  0.084
   2.10348     15.777192  0.000  0.084  0.000  0.084
   2.08634     15.725005  0.000  0.084  0.000  0.084
   2.06920     15.672237  0.000  0.084  0.000  0.084
   2.05207     15.619164  0.000  0.082  0.000  0.082
   2.03493     15.566231  0.000  0.082  0.000  0.082
   2.01779     15.513627  0.000  0.082  0.000  0.082
   2.00065     15.461509  0.000  0.082  0.000  0.082
   1.98351     15.410112  0.000  0.082  0.000  0.082
   1.96637     15.359581  0.000  0.082  0.000  0.082
   1.94924     15.310075  0.000  0.082  0.000  0.082
   1.93210     15.261708  0.000  0.082  0.000  0.082
   1.91496     15.214595  0.000  0.080  0.000  0.080
   1.89782     15.168788  0.000  0.080  0.000  0.080
   1.88068     15.124388  0.000  0.080  0.000  0.080
   1.86355     15.081457  0.000  0.080  0.000  0.080
   1.84641     15.040056  0.000  0.080  0.000  0.080
   1.82927     15.000239  0.000  0.080  0.000  0.080
   1.81213     14.962050  0.000  0.080  0.000  0.080
   1.79499     14.925534  0.000  0.080  0.000  0.080
   1.77785     14.890695  0.000  0.080  0.000  0.080
   1.76072     14.857624  0.000  0.078  0.000  0.078
   1.74358     14.826331  0.000  0.078  0.000  0.078
   1.72644     14.796811  0.000  0.078  0.000  0.078
   1.70930     14.769115  0.000  0.078  0.000  0.078
   1.69216     14.743270  0.000  0.078  0.000  0.078
   1.67503     14.719265  0.000  0.078  0.000  0.078
   1.65789     14.697127  0.000  0.078  0.000  0.078
   1.64075     14.676872  0.000  0.078  0.000  0.078
   1.62361     14.658514  0.000  0.078  0.000  0.078
   1.60647     14.642060  0.000  0.078  0.000  0.078
   1.58933     14.627521  0.000  0.078  0.000  0.078
   1.57220     14.614893  0.000  0.078  0.000  0.078
   1.55506     14.604206  0.000  0.078  0.000  0.078
   1.53792     14.595455  0.000  0.078  0.000  0.078
   1.52078     14.588633  0.000  0.078  0.000  0.078
   1.50364     14.583754  0.000  0.078  0.000  0.078
   1.48651     14.580819  0.000  0.078  0.000  0.078
   1.46937     14.579869  0.000  0.078  0.000  0.078
   1.46937     14.579869  0.000  0.078  0.000  0.078
   1.45453     14.580598  0.000  0.078  0.000  0.078
   1.43968     14.582757  0.000  0.078  0.000  0.078
   1.42484     14.586420  0.000  0.078  0.000  0.078
   1.41000     14.591541  0.000  0.078  0.000  0.078
   1.39516     14.598108  0.000  0.078  0.000  0.078
   1.38031     14.606127  0.000  0.078  0.000  0.078
   1.36547     14.615599  0.000  0.078  0.000  0.078
   1.35063     14.626517  0.000  0.078  0.000  0.078
   1.33579     14.638879  0.000  0.078  0.000  0.078
   1.32095     14.652682  0.000  0.078  0.000  0.078
   1.30610     14.667916  0.000  0.078  0.000  0.078
   1.29126     14.684582  0.000  0.078  0.000  0.078
   1.27642     14.702684  0.000  0.078  0.000  0.078
   1.26158     14.722182  0.000  0.078  0.000  0.078
   1.24674     14.743098  0.000  0.078  0.000  0.078
   1.23189     14.765416  0.000  0.078  0.000  0.078
   1.21705     14.789129  0.000  0.078  0.000  0.078
   1.20221     14.814229  0.000  0.078  0.000  0.078
   1.18737     14.840720  0.000  0.078  0.000  0.078
   1.17253     14.868562  0.000  0.080  0.000  0.080
   1.15768     14.897771  0.000  0.080  0.000  0.080
   1.14284     14.928291  0.000  0.080  0.000  0.080
   1.12800     14.960164  0.000  0.080  0.000  0.080
   1.11316     14.993355  0.000  0.080  0.000  0.080
   1.09832     15.027851  0.000  0.080  0.000  0.080
   1.08347     15.063634  0.000  0.080  0.000  0.080
   1.06863     15.100703  0.000  0.080  0.000  0.080
   1.05379     15.139009  0.000  0.080  0.000  0.080
   1.03895     15.178551  0.000  0.080  0.000  0.080
   1.02410     15.219302  0.000  0.082  0.000  0.082
   1.00926     15.261241  0.000  0.082  0.000  0.082
   0.99442     15.304342  0.000  0.082  0.000  0.082
   0.97958     15.348554  0.000  0.082  0.000  0.082
   0.96474     15.393912  0.000  0.082  0.000  0.082
   0.94989     15.440318  0.000  0.084  0.000  0.084
   0.93505     15.487659  0.000  0.084  0.000  0.084
   0.92021     15.536089  0.000  0.084  0.000  0.084
   0.90537     15.585476  0.000  0.084  0.000  0.084
   0.89053     15.635753  0.000  0.086  0.000  0.086
   0.87568     15.686873  0.000  0.086  0.000  0.086
   0.86084     15.738786  0.000  0.086  0.000  0.086
   0.84600     15.791406  0.000  0.086  0.000  0.086
   0.83116     15.844671  0.000  0.088  0.000  0.088
   0.81632     15.898488  0.000  0.088  0.000  0.088
   0.80147     15.952766  0.000  0.090  0.000  0.090
   0.78663     16.007495  0.000  0.090  0.000  0.090
   0.77179     16.062363  0.000  0.090  0.000  0.090
   0.75695     16.117292  0.000  0.092  0.000  0.092
   0.74210     16.172186  0.000  0.092  0.000  0.092
   0.72726     16.226851  0.000  0.094  0.000  0.094
   0.71242     16.281105  0.000  0.096  0.000  0.096
   0.69758     16.334611  0.000  0.096  0.000  0.096
   0.68274     16.387188  0.000  0.098  0.000  0.098
   0.66789     16.438481  0.000  0.100  0.000  0.100
   0.65305     16.488114  0.000  0.100  0.000  0.100
   0.63821     16.535660  0.000  0.102  0.000  0.102
   0.62337     16.580568  0.000  0.104  0.000  0.104
   0.60853     16.622234  0.000  0.106  0.000  0.106
   0.59368     16.659927  0.000  0.108  0.000  0.108
   0.57884     16.692800  0.000  0.110  0.000  0.110
   0.56400     16.719850  0.000  0.112  0.000  0.112
   0.54916     16.739938  0.000  0.114  0.000  0.114
   0.53432     16.751788  0.000  0.116  0.000  0.116
   0.51947     16.754022  0.000  0.118  0.000  0.118
   0.50463     16.745264  0.000  0.120  0.000  0.120
   0.48979     16.724240  0.000  0.122  0.000  0.122
   0.47495     16.689959  0.000  0.122  0.000  0.122
   0.46010     16.641850  0.000  0.120  0.000  0.120
   0.44526     16.693156  0.000  0.664  0.000  0.664
   0.43042     16.858621  0.000  0.670  0.000  0.670
   0.41558     17.021816  0.000  0.674  0.000  0.674
   0.40074     17.183745  0.000  0.678  0.000  0.678
   0.38589     17.343600  0.000  0.682  0.000  0.682
   0.37105     17.468258  0.018  0.084  0.000  0.104
   0.35621     17.307979  0.014  0.078  0.000  0.094
   0.34137     17.144827  0.012  0.072  0.000  0.084
   0.32653     16.979161  0.008  0.066  0.000  0.076
   0.31168     16.811299  0.006  0.062  0.000  0.068
   0.29684     16.641698  0.006  0.056  0.000  0.062
   0.28200     16.470790  0.004  0.052  0.000  0.056
   0.26716     16.298907  0.002  0.048  0.000  0.050
   0.25232     16.126416  0.002  0.044  0.000  0.046
   0.23747     15.953696  0.002  0.042  0.000  0.042
   0.22263     15.781228  0.000  0.038  0.000  0.040
   0.20779     15.610417  0.000  0.036  0.000  0.036
   0.19295     15.479856  0.004  0.030  0.000  0.034
   0.17811     15.586510  0.006  0.034  0.000  0.040
   0.16326     15.716059  0.006  0.038  0.000  0.042
   0.14842     15.847744  0.004  0.040  0.000  0.044
   0.13358     15.980598  0.004  0.042  0.000  0.046
   0.11874     16.114276  0.004  0.044  0.000  0.048
   0.10389     16.248626  0.004  0.048  0.000  0.050
   0.08905     16.383527  0.002  0.050  0.000  0.052
   0.07421     16.518749  0.002  0.054  0.000  0.056
   0.05937     16.478703  0.000  0.056  0.000  0.056
   0.04453     16.409996  0.000  0.052  0.000  0.052
   0.02968     16.355306  0.000  0.048  0.000  0.048
   0.01484     16.319589  0.000  0.046  0.000  0.046
   0.00000     16.307103  0.000  0.046  0.000  0.046
 
# Band-Index   15
   0.00000     17.134416  0.000  0.090  0.000  0.090
   0.01484     17.050843  0.000  0.076  0.000  0.076
   0.02968     16.922449  0.000  0.068  0.000  0.068
   0.04453     16.788899  0.002  0.062  0.000  0.064
   0.05937     16.654005  0.002  0.058  0.000  0.060
   0.07421     16.557071  0.000  0.058  0.000  0.058
   0.08905     16.641716  0.000  0.062  0.000  0.062
   0.10389     16.730152  0.000  0.064  0.000  0.064
   0.11874     16.820616  0.000  0.066  0.000  0.066
   0.13358     16.911667  0.000  0.068  0.000  0.068
   0.14842     17.002335  0.000  0.070  0.000  0.070
   0.16326     17.091862  0.000  0.072  0.000  0.072
   0.17811     17.179570  0.000  0.072  0.000  0.072
   0.19295     17.265005  0.000  0.072  0.000  0.072
   0.20779     17.347682  0.000  0.072  0.000  0.072
   0.22263     17.427253  0.000  0.072  0.000  0.072
   0.23747     17.503406  0.000  0.072  0.000  0.072
   0.25232     17.575776  0.000  0.072  0.000  0.072
   0.26716     17.644152  0.000  0.070  0.000  0.070
   0.28200     17.708338  0.000  0.070  0.000  0.070
   0.29684     17.768212  0.000  0.068  0.000  0.068
   0.31168     17.823756  0.000  0.066  0.000  0.066
   0.32653     17.875089  0.000  0.064  0.000  0.064
   0.34137     17.808611  0.000  0.698  0.000  0.698
   0.35621     17.656395  0.000  0.692  0.000  0.692
   0.37105     17.501149  0.000  0.688  0.000  0.688
   0.38589     17.625477  0.024  0.090  0.000  0.114
   0.40074     17.779451  0.028  0.096  0.000  0.124
   0.41558     17.930626  0.034  0.100  0.000  0.134
   0.43042     18.079459  0.038  0.102  0.000  0.142
   0.44526     18.223239  0.000  0.052  0.000  0.052
   0.46010     18.278904  0.000  0.050  0.000  0.050
   0.47495     18.341791  0.000  0.052  0.000  0.052
   0.48979     18.412430  0.000  0.052  0.000  0.052
   0.50463     18.490822  0.000  0.054  0.000  0.054
   0.51947     18.576507  0.000  0.056  0.000  0.056
   0.53432     18.668746  0.000  0.060  0.000  0.060
   0.54916     18.766662  0.000  0.062  0.000  0.062
   0.56400     18.869376  0.000  0.064  0.000  0.064
   0.57884     18.976078  0.000  0.066  0.000  0.066
   0.59368     19.086062  0.000  0.068  0.000  0.068
   0.60853     19.010917  0.016  0.022  0.000  0.038
   0.62337     18.927898  0.016  0.020  0.000  0.038
   0.63821     18.845225  0.018  0.018  0.000  0.036
   0.65305     18.763272  0.018  0.016  0.000  0.036
   0.66789     18.682239  0.018  0.016  0.000  0.034
   0.68274     18.602251  0.020  0.014  0.000  0.034
   0.69758     18.523391  0.020  0.014  0.000  0.032
   0.71242     18.445708  0.020  0.012  0.000  0.032
   0.72726     18.369279  0.020  0.012  0.000  0.032
   0.74210     18.294127  0.020  0.010  0.000  0.032
   0.75695     18.220287  0.022  0.010  0.000  0.030
   0.77179     18.147784  0.022  0.008  0.000  0.030
   0.78663     18.076618  0.022  0.008  0.000  0.030
   0.80147     18.006816  0.022  0.008  0.000  0.030
   0.81632     17.938409  0.022  0.006  0.000  0.030
   0.83116     17.871403  0.022  0.006  0.000  0.028
   0.84600     17.805809  0.022  0.006  0.000  0.028
   0.86084     17.741642  0.022  0.006  0.000  0.028
   0.87568     17.678913  0.022  0.004  0.000  0.028
   0.89053     17.617624  0.024  0.004  0.000  0.028
   0.90537     17.557789  0.024  0.004  0.000  0.028
   0.92021     17.499413  0.024  0.004  0.000  0.026
   0.93505     17.442509  0.024  0.004  0.000  0.026
   0.94989     17.387081  0.024  0.004  0.000  0.026
   0.96474     17.333136  0.024  0.002  0.000  0.026
   0.97958     17.280678  0.024  0.002  0.000  0.026
   0.99442     17.229717  0.024  0.002  0.000  0.026
   1.00926     17.180255  0.024  0.002  0.000  0.026
   1.02410     17.132299  0.024  0.002  0.000  0.026
   1.03895     17.085854  0.024  0.002  0.000  0.024
   1.05379     17.040926  0.024  0.002  0.000  0.024
   1.06863     16.997517  0.024  0.002  0.000  0.024
   1.08347     16.955634  0.024  0.002  0.000  0.024
   1.09832     16.915282  0.024  0.000  0.000  0.024
   1.11316     16.876464  0.024  0.000  0.000  0.024
   1.12800     16.839186  0.022  0.000  0.000  0.024
   1.14284     16.803452  0.022  0.000  0.000  0.024
